project_code,yard_name,packing_count,source
2511022,G10,1,jeil_actual
2512002,G05,1,jeil_actual
2512014,G03,7,jeil_actual
2512021,A06,20,jeil_actual
2512021,A08,1,jeil_actual
2512021,G04,1,jeil_actual
2512021,E02,10,jeil_actual
2512021,E01,19,jeil_actual
2512021,H08,1,jeil_actual
2512023,H16,28,jeil_actual
2512023,H13,11,jeil_actual
2512023,H01,2,jeil_actual
2512023,D08,4,jeil_actual
2512023,D09,6,jeil_actual
2512023,H11,2,jeil_actual
2512032,H03,6,jeil_actual
2512032,D10,2,jeil_actual
2512032,H04,4,jeil_actual
2601009,G04,6,jeil_actual
2601009,F08,23,jeil_actual
2601009,F01,1,jeil_actual
2601009,D01,11,jeil_actual
2601015,E03,20,jeil_actual
2601015,D05,20,jeil_actual
2601015,D01,9,jeil_actual
2601021,D04,22,jeil_actual
2601021,C01,2,jeil_actual
2601021,C04,8,jeil_actual
2601021,B02,29,jeil_actual
2601021,A08,18,jeil_actual
2601021,A07,17,jeil_actual
2601021,A01,3,jeil_actual
2601022,G03,3,jeil_actual
2601022,G07,4,jeil_actual
2601022,A01,5,jeil_actual
2601022,A06,1,jeil_actual
2601022,C06,3,jeil_actual
2601022,G06,3,jeil_actual
2601029,G05,1,jeil_actual
2602017,G02,1,jeil_actual
2603001,D01,9,jeil_actual
2603002,G05,2,jeil_actual
2603002,C01,1,jeil_actual
2603002,E03,6,jeil_actual
2603003,G08,1,jeil_actual
2603004,H04,10,jeil_actual
2603004,H17,13,jeil_actual
2603004,H09,3,jeil_actual
2603004,H15,27,jeil_actual
2603004,H16,3,jeil_actual
2603004,G09,3,jeil_actual
2603004,G02,3,jeil_actual
2603004,B05,15,jeil_actual
2603005,G01,5,jeil_actual
2603006,D04,10,jeil_actual
2603007,G04,5,jeil_actual
2603008,G04,5,jeil_actual
2603009,G05,3,jeil_actual
2603011,B07,20,jeil_actual
2603012,G04,1,jeil_actual
2603013,E02,9,jeil_actual
2603013,E01,8,jeil_actual
2603014,B01,15,jeil_actual
2603014,D01,36,jeil_actual
2603014,D05,21,jeil_actual
2603014,C04,7,jeil_actual
2603014,A08,38,jeil_actual
2603014,F07,16,jeil_actual
2603014,A01,40,jeil_actual
2603014,B07,28,jeil_actual
2603014,G03,1,jeil_actual
2603014,A05,38,jeil_actual
2603014,A03,15,jeil_actual
2603015,C04,5,jeil_actual
2603016,G03,2,jeil_actual
2603017,G01,8,jeil_actual
2603017,G02,2,jeil_actual
2603018,G02,1,jeil_actual
2603019,C02,9,jeil_actual
2603019,G05,1,jeil_actual
2603020,G05,1,jeil_actual
2603021,G07,2,jeil_actual
2603022,A01,18,jeil_actual
2603022,A03,3,jeil_actual
2603023,G05,1,jeil_actual
2603024,G08,1,jeil_actual
2603026,G02,2,jeil_actual
2603026,G07,1,jeil_actual
2603028,D08,1,jeil_actual
2603028,G09,1,jeil_actual
2603029,A01,5,jeil_actual
2603029,D01,20,jeil_actual
2603029,C01,16,jeil_actual
2603029,D02,5,jeil_actual
2603029,F01,1,jeil_actual
2603030,D02,5,jeil_actual
2603031,G09,2,jeil_actual
2603032,C01,16,jeil_actual
2603032,G02,2,jeil_actual
2603033,C07,13,jeil_actual
2603034,H15,8,jeil_actual
2603034,H16,8,jeil_actual
2603034,H11,3,jeil_actual
2603034,D08,16,jeil_actual
2604002,G06,3,jeil_actual
2604004,H17,1,jeil_actual
2604004,H08,3,jeil_actual
2604005,D01,7,jeil_actual
2604005,G08,1,jeil_actual
2604006,G08,1,jeil_actual
2604006,D01,1,jeil_actual
2604008,G04,3,jeil_actual
2604009,G09,1,jeil_actual
2604011,G04,3,jeil_actual
2604012,G04,1,jeil_actual
2604013,F01,10,jeil_actual
2604013,G01,3,jeil_actual
2604014,H03,5,jeil_actual
2604015,G07,5,jeil_actual
2604019,E03,2,jeil_actual
2604019,E04,5,jeil_actual
2306079,G07,3,jeil_actual
2406047,G04,4,jeil_actual
2408003,C05,1,jeil_actual
2408005,A01,2,jeil_actual
2408005,G04,1,jeil_actual
2408005,E01,2,jeil_actual
2408005,E02,2,jeil_actual
2409028,F03,4,jeil_actual
2409028,G09,1,jeil_actual
2409028,G04,4,jeil_actual
2409046,G05,1,jeil_actual
2410049,D04,8,jeil_actual
2410049,A03,17,jeil_actual
2410049,C06,2,jeil_actual
2410054,E04,7,jeil_actual
2410054,B02,3,jeil_actual
2410054,B03,10,jeil_actual
2410054,B01,28,jeil_actual
2410054,G09,1,jeil_actual
2410054,B04,19,jeil_actual
2410054,G07,1,jeil_actual
2410054,B07,12,jeil_actual
2410054,D07,2,jeil_actual
2501026,E02,1,jeil_actual
2501026,A01,5,jeil_actual
2502023,E03,12,jeil_actual
2502023,G05,2,jeil_actual
2502044,C05,15,jeil_actual
2502044,G03,2,jeil_actual
2504042,A04,10,jeil_actual
2504042,E03,9,jeil_actual
2504042,G06,4,jeil_actual
2504042,A06,20,jeil_actual
2505001,G01,1,jeil_actual
2505001,F02,15,jeil_actual
2505001,G03,1,jeil_actual
2505058,E04,7,jeil_actual
2505058,E05,1,jeil_actual
2505058,E06,5,jeil_actual
2505058,B06,10,jeil_actual
2505058,D04,14,jeil_actual
2505058,D08,4,jeil_actual
2505058,D07,3,jeil_actual
2506027,G03,5,jeil_actual
2506036,A02,22,jeil_actual
2506036,D05,15,jeil_actual
2506036,B01,12,jeil_actual
2506036,C03,1,jeil_actual
2506036,C02,17,jeil_actual
2506036,B07,16,jeil_actual
2506036,A03,19,jeil_actual
2506036,F09,4,jeil_actual
